================================================================================
 MOTION PREDICTION V8 ??TEMPORAL GRU + TRAJ REFINER + LATE-HORIZON LOSS
 Data Root:       E:\motion_planning\data\processed\prediction_pt_85k
 Output Dir:      .\checkpoints\v8_hardcls
 Resume Checkpoint: .\checkpoints\v6_temporal\best_error_score.pth
 Epochs:          20 (Batch: 32, LR: 0.0001)
 Neighbors/Map:   16 hist / 64 map pts
 Loss extras:     time_weight_end=2.5, weight_fde=0.75, cls=0.8, hard_cls=0.5
 aWTA:            tau 0.5->0.25, Top-2->1
 Workers/Prefetch: 8/4
 AMP:             bf16 (torch.bfloat16)
 Compute Device:  cuda (NVIDIA GeForce RTX 5080)
================================================================================
-> Detected 1 window(s) per pack
-> Train Scenes: 229653 | Val Scenes: 25725 | Train windows: 229653 | Val windows: 25725
-> Model params: 1.514M
-> Loading compatible weights from: .\checkpoints\v6_temporal\best_error_score.pth
-> Loaded 50/50 tensors (new layers stay random/zero)
-> Optimizer: AdamW fused=True
 [Epoch 01/20] Step [05400/7177] | Loss: 19.5895 | minADE6: 0.820m | minADE1: 1.485m | 9.8 steps/s | GPU -1% 101MB -1W | tau: 0.50, Top-2
 [Epoch 01/20] Step [05600/7177] | Loss: 21.9437 | minADE6: 0.834m | minADE1: 1.509m | 9.9 steps/s | GPU -1% 101MB -1W | tau: 0.50, Top-2
 [Epoch 01/20] Step [05800/7177] | Loss: 20.7273 | minADE6: 0.820m | minADE1: 1.472m | 10.0 steps/s | GPU -1% 103MB -1W | tau: 0.50, Top-2
 [Epoch 01/20] Step [06000/7177] | Loss: 20.6751 | minADE6: 0.812m | minADE1: 1.480m | 9.7 steps/s | GPU -1% 102MB -1W | tau: 0.50, Top-2
 [Epoch 01/20] Step [06200/7177] | Loss: 19.4228 | minADE6: 0.815m | minADE1: 1.484m | 9.7 steps/s | GPU -1% 101MB -1W | tau: 0.50, Top-2
 [Epoch 01/20] Step [06400/7177] | Loss: 20.3594 | minADE6: 0.823m | minADE1: 1.512m | 9.7 steps/s | GPU -1% 101MB -1W | tau: 0.50, Top-2
 [Epoch 01/20] Step [06600/7177] | Loss: 20.1350 | minADE6: 0.798m | minADE1: 1.464m | 9.7 steps/s | GPU -1% 103MB -1W | tau: 0.50, Top-2
 [Epoch 01/20] Step [06800/7177] | Loss: 20.9175 | minADE6: 0.823m | minADE1: 1.510m | 9.8 steps/s | GPU -1% 101MB -1W | tau: 0.50, Top-2
 [Epoch 01/20] Step [07000/7177] | Loss: 21.4132 | minADE6: 0.826m | minADE1: 1.517m | 10.0 steps/s | GPU -1% 102MB -1W | tau: 0.50, Top-2
Epoch 01/20 (748.9s, 7177 steps) | Train Loss: 20.5083, minADE6: 0.814m, minADE1: 1.485m | Val Loss: 21.0466, val_minADE6: 0.8281m, val_minADE1: 1.5041m, val_minFDE6: 13.2323m, Error Score: 1.1661
[NEW BEST Error Score]: 1.1661 saved!
[NEW BEST minADE6]: 0.8281m saved!
 [Epoch 02/20] Step [00050/7177] | Loss: 21.1558 | minADE6: 0.833m | minADE1: 1.509m | 8.2 steps/s | GPU -1% 101MB -1W | tau: 0.48, Top-2
 [Epoch 02/20] Step [00100/7177] | Loss: 21.1661 | minADE6: 0.819m | minADE1: 1.490m | 9.8 steps/s | GPU -1% 100MB -1W | tau: 0.48, Top-2
